NO,UPT,X,GARDU INDUK,JADWAL RENCANA,REALISASI,STATUS,JENIS ANOMALI,Status FIX,,,,
154,UPT BEKASI,BEKASI,GI 150KV TAMBUN,,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
155,UPT BEKASI,BEKASI,GI 150KV TAMBUN,,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
156,UPT BEKASI,BEKASI,GI 150KV TAMBUN,,,Critical,TS - AHI pada aset kritikal kategori Good,Open,,,,
157,UPT BEKASI,BEKASI,GI 150KV TAMBUN,,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
158,UPT BEKASI,BEKASI,GI 150KV PONCOL BARU,,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
159,UPT BEKASI,BEKASI,GI 150KV PONCOL BARU,,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
160,UPT BOGOR,BOGOR,GITET 500KV CIBINONG,5/30/2025,5/30/2025,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
161,UPT BOGOR,BOGOR,GI 150KV BOGOR BARU,5/30/2025,5/30/2025,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
162,UPT BOGOR,BOGOR,GI 150KV BOGOR BARU,5/30/2025,5/30/2025,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
163,UPT BOGOR,BOGOR,GI 150KV SENTUL,5/30/2025,5/30/2025,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
164,UPT BOGOR,BOGOR,GI 150KV SENTUL,3/2/2026,3/2/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
165,UPT CIREBON,CIREBON,GITET 500KV MANDIRANCAN,1/12/2026,1/12/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
166,UPT CIREBON,CIREBON,GITET 500KV MANDIRANCAN,,,Critical,TS - AHI pada aset kritikal kategori Good,Open,,,,
167,UPT CIREBON,CIREBON,GI 150KV PLTU INDRAMAYU,1/31/2026,1/31/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
168,UPT CIREBON,CIREBON,GI 150KV PLTU INDRAMAYU,2/28/2026,2/28/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
169,UPT CIREBON,CIREBON,GITET 500KV TASIKMALAYA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
170,UPT CIREBON,CIREBON,GITET 500KV TASIKMALAYA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
171,UPT CIREBON,CIREBON,GI 150KV TASIKMALAYA BARU,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
172,UPT CIREBON,CIREBON,GI 150KV TASIKMALAYA BARU,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
173,UPT CIREBON,CIREBON,GI 150KV TASIKMALAYA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
174,UPT CIREBON,CIREBON,GI 150KV TASIKMALAYA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
175,UPT CIREBON,CIREBON,GI 150KV TASIKMALAYA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
176,UPT CIREBON,CIREBON,GI 150KV TASIKMALAYA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
177,UPT CIREBON,CIREBON,GI 150KV CIAMIS,,,Fair,TS - AHI pada aset kritikal kategori Good,Open,,,,
178,UPT CIREBON,CIREBON,GI 150KV CIAMIS,,,Fair,TS - AHI pada aset kritikal kategori Good,Open,,,,
179,UPT KARAWANG,KARAWANG,GI 150KV PARUNGMULYA,5/30/2025,5/30/2025,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
180,UPT KARAWANG,KARAWANG,GI 150KV PERURI,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
181,UPT KARAWANG,KARAWANG,GI 150KV SUKAMANDI,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
182,UPT KARAWANG,KARAWANG,GI 150KV SUKAMANDI,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
183,UPT KARAWANG,KARAWANG,GITET 500KV DELTAMAS,,,Critical,TS - AHI pada aset kritikal kategori Good,Open,,,,
184,UPT KARAWANG,KARAWANG,GITET 500KV DELTAMAS,,,Poor,TS - AHI pada aset kritikal kategori Good,Open,,,,
